,aet_modis,aet_gldas,aet_tc,aet_fldas
2001-09-30,0.0753504030734084,0.012217402222413694,0.005588407752084051,0.0027091056318334136
2001-10-31,0.03798792256230346,0.013236979566359145,0.020085604210379766,0.008223845620498915
2001-11-30,0.048204893931945755,0.039987601035693675,0.16703346251076012,0.07176196098435828
2001-12-31,0.04201915125432105,0.02960727005795641,0.11592823415656237,0.07779597689606442
2002-01-31,0.05735654478058554,0.049803979879596096,0.06491529084610488,0.0759778608620701
2002-02-28,0.10296175370764936,0.1126525977521166,0.03499181366548335,0.11734876649825489
2002-03-31,0.1178041033040416,0.19358425041425725,0.07220402593500086,0.15797642616934598
2002-04-30,0.10606588069517522,0.21212359261469557,0.05629506055658081,0.13447919196158845
2002-05-31,0.12560729683597768,0.15445843225109468,0.024216643296712366,0.06450847722216872
2002-06-30,0.12584325561879853,0.07290046020933204,0.005071396302998482,0.027614262460914023
2002-07-31,0.11231910771499945,0.027951924225748312,0.003754485780667001,0.008904950299521298
2002-08-31,0.08709935142256668,0.012024145789171001,0.003169159034479746,0.004009098737634649
2002-09-30,0.0746964836517299,0.006950639631544075,0.003030571458548649,0.0023242269069229217
2002-10-31,0.036782632442525186,0.00424607312021249,0.002515647296211464,0.008469315934527703
2002-11-30,0.042606839805552944,0.0524966470597894,0.16128707647053306,0.05420498856041636
2002-12-31,0.05186599434539473,0.06295578733432572,0.11538151079394901,0.06874085627816398
2003-01-31,0.033536942876111774,0.08233904536812654,0.02897226866116407,0.06828931978223375
2003-02-28,0.1192265707838539,0.13168404309691872,0.152308131727335,0.11884608543516326
2003-03-31,0.14251865935625402,0.23796072590993989,0.06847673484536151,0.15690795191405602
2003-04-30,0.09887823712027505,0.24809542083846264,0.17640272863288137,0.13003171815492945
2003-05-31,0.11997794350055767,0.2821365219691108,0.06504808067144936,0.1106425298770999
2003-06-30,0.12009355902748536,0.15649961486080557,0.004827637979815664,0.032593337531418826
2003-07-31,0.08063084392212108,0.07029108066314682,0.0042450604232519284,0.011932237374462761
2003-08-31,0.12928235706054528,0.05354034815057579,0.00562906740618132,0.007007731336368623
2003-09-30,0.08307006078667194,0.019509303462259448,0.004527445483130729,0.0037112679468502396
2003-10-31,0.03985594328041374,0.007023603701161456,0.0035147738980348064,0.0028373945441639847
2003-11-30,0.06162720705255197,0.029321541293383394,0.06630138883933684,0.03938985769548536
2003-12-31,0.0405543620754039,0.049450000512576565,0.11922274435774484,0.05954564361033172
2004-01-31,0.046362455370925225,0.05769929901810283,0.07940176173217281,0.07188245206935275
2004-02-29,0.10488465320684931,0.08509015931491905,0.17292187812561166,0.12048284035480153
2004-03-31,0.1739063993030002,0.2699667707490477,0.05912368519291041,0.19975402754670815
2004-04-30,0.12057404783805195,0.22913081255412499,0.02102440592088078,0.10446056054663051
2004-05-31,0.0824165850729482,0.12537966094315092,0.009907877039413114,0.03335731420301449
2004-06-30,0.1344057905408529,0.05491374692455922,0.006721557867352044,0.012931729941105285
2004-07-31,0.1185944915834957,0.02936652013082282,0.005066862248262491,0.0071043020641985265
